code,name,market,industry,capital
1101,台泥,twse,01,772.3182
1102,亞泥,twse,01,354.6563
1103,嘉泥,twse,01,83.2875
1104,環泥,twse,01,68.6682
1108,幸福,twse,01,40.4738
1109,信大,twse,01,34.1159
1110,東泥,twse,01,57.2001
1201,味全,twse,02,50.6063
1203,味王,twse,02,24.0
1210,大成,twse,02,89.4767
1213,大飲,twse,02,5.6623
1215,卜蜂,twse,02,29.479
1216,統一,twse,02,568.2015
1217,愛之味,twse,02,49.4513
1218,泰山,twse,02,49.9999
1219,福壽,twse,02,34.1238
1220,台榮,twse,02,17.7078
1225,福懋油,twse,02,24.2268
1227,佳格,twse,02,91.509
1229,聯華,twse,02,179.5961
1231,聯華食,twse,02,32.83
1232,大統益,twse,02,15.9975
1233,天仁,twse,02,9.0592
1234,黑松,twse,02,40.1871
1235,興泰,twse,02,18.8578
1236,宏亞,twse,02,8.6674
1256,鮮活果汁-KY,twse,02,3.5781
1301,台塑,twse,03,636.5741
1303,南亞,twse,03,793.0822
1304,台聚,twse,03,118.8764
1305,華夏,twse,03,58.105
1307,三芳,twse,03,39.7818
1308,亞聚,twse,03,59.3744
1309,台達化,twse,03,39.7587
1310,台苯,twse,03,52.787
1312,國喬,twse,03,152.662
1313,聯成,twse,03,133.0846
1314,中石化,twse,03,378.485
1315,達新,twse,03,9.9099
1316,上曜,twse,14,40.1646
1319,東陽,twse,12,59.1477
1321,大洋,twse,03,22.7228
1323,永裕,twse,03,9.1275
1324,地球,twse,03,7.5122
1325,恆大,twse,03,8.5281
1326,台化,twse,03,586.1186
1337,再生-KY,twse,03,26.8955
1338,廣華-KY,twse,12,8.384
1339,昭輝,twse,12,7.4124
1340,勝悅-KY,twse,03,15.2923
1341,富林-KY,twse,03,5.2851
1342,八貫,twse,20,7.8001
1402,遠東新,twse,04,535.2875
1409,新纖,twse,04,161.8409
1410,南染,twse,04,6.2
1413,宏洲,twse,04,13.2112
1414,東和,twse,04,19.8
1416,廣豐,twse,20,18.5342
1417,嘉裕,twse,04,18.9942
1418,東華,twse,04,5.6834
1419,新紡,twse,04,30.0041
1423,利華,twse,04,9.9648
1432,大魯閣,twse,37,10.8
1434,福懋,twse,04,168.4665
1435,中福,twse,20,13.978
1436,華友聯,twse,14,19.4152
1437,勤益控,twse,20,20.1871
1438,三地開發,twse,14,11.1206
1439,雋揚,twse,14,9.2
1440,南紡,twse,04,165.6816
1441,大東,twse,04,6.1744
1442,名軒,twse,14,36.6211
1443,立益物流,twse,20,13.5343
1444,力麗,twse,04,99.5595
1445,大宇,twse,04,13.0666
1446,宏和,twse,04,13.771
1447,力鵬,twse,04,91.0071
1449,佳和,twse,04,12.7115
1451,年興,twse,04,19.8
1452,宏益,twse,04,13.2641
1453,大將,twse,14,11.3243
1454,台富,twse,04,12.9834
1455,集盛,twse,04,53.1688
1456,怡華,twse,14,9.372
1457,宜進,twse,04,31.673
1459,聯發,twse,04,26.8972
1460,宏遠,twse,04,69.4643
1463,強盛新,twse,04,17.3268
1464,得力,twse,04,42.5576
1465,偉全,twse,04,10.3607
1466,聚隆,twse,04,11.1157
1467,南緯,twse,04,23.3625
1468,昶和,twse,04,16.0405
1470,大統新創,twse,04,8.5767
1471,首利,twse,28,15.0415
1472,三洋實業,twse,14,5.2488
1473,台南,twse,04,14.6154
1474,弘裕,twse,04,12.9897
1475,業旺,twse,04,6.6017
1476,儒鴻,twse,04,27.4367
1477,聚陽,twse,04,24.6694
1503,士電,twse,05,52.0972
1504,東元,twse,05,237.6441
1506,正道,twse,05,30.0389
1512,瑞利,twse,12,9.8183
1513,中興電,twse,05,50.3113
1514,亞力,twse,05,27.8571
1515,力山,twse,05,18.1473
1516,川飛,twse,20,4.0008
1517,利奇,twse,05,22.0
1519,華城,twse,05,31.5881
1521,大億,twse,12,7.623
1522,堤維西,twse,12,34.2898
1524,耿鼎,twse,12,16.531
1525,江申,twse,12,7.34
1526,日馳,twse,05,6.0
1527,鑽全,twse,05,13.8571
1528,恩德,twse,05,19.1331
1529,樂事綠能,twse,05,15.5095
1530,亞崴,twse,05,9.4594
1531,高林股,twse,05,18.2108
1532,勤美,twse,05,42.2604
1533,車王電,twse,12,9.8547
1535,中宇,twse,05,12.3743
1536,和大,twse,12,27.896
1537,廣隆,twse,05,8.2063
1538,正峰,twse,05,3.23
1539,巨庭,twse,05,6.537
1540,喬福,twse,05,8.5474
1541,錩泰,twse,05,7.88
1558,伸興,twse,05,6.4536
1560,中砂,twse,05,14.8925
1563,巧新,twse,12,22.5608
